Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
60246359,ClickHouse,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics DBMS,C++,2016-06-02T08:28:18Z,2024-12-07T00:30:45Z,2024-12-06T23:30:32Z,4092,6955,37947,37947,1633549,ClickHouse,Organization,Apache License 2.0
599320067,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.",Python,2023-02-08T22:28:03Z,2024-12-07T00:51:32Z,2024-12-07T00:13:13Z,244,4348,37234,37234,484894,langflow-ai,Organization,MIT License
234798675,bevy,bevyengine/bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,2020-01-18T21:13:55Z,2024-12-07T00:39:39Z,2024-12-07T00:39:36Z,2395,3620,36796,36796,116187,bevyengine,Organization,Apache License 2.0
74175805,istio,istio/istio,https://github.com/istio/istio,"Connect, secure, control, and observe services.",Go,2016-11-18T23:57:21Z,2024-12-07T00:58:29Z,2024-12-07T00:26:07Z,543,7791,36201,36201,274338,istio,Organization,Apache License 2.0
204086862,streamlit,streamlit/streamlit,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,2019-08-24T00:14:52Z,2024-12-07T00:02:01Z,2024-12-07T00:14:15Z,976,3114,36053,36053,512865,streamlit,Organization,Apache License 2.0
680120071,autogen,microsoft/autogen,https://github.com/microsoft/autogen,A programming framework for agentic AI 🤖 (PyPi: autogen-agentchat),Jupyter Notebook,2023-08-18T11:43:45Z,2024-12-06T23:57:34Z,2024-12-06T23:42:56Z,618,5130,35486,35486,136569,microsoft,Organization,Creative Commons Attribution 4.0 International
13840241,devdocs,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,API Documentation Browser,Ruby,2013-10-24T18:16:07Z,2024-12-07T00:15:04Z,2024-12-07T00:15:00Z,209,2372,35421,35421,31631,freeCodeCamp,Organization,Mozilla Public License 2.0
266417772,Summer2025-Internships,SimplifyJobs/Summer2025-Internships,https://github.com/SimplifyJobs/Summer2025-Internships,Collection of Summer 2025 tech internships!,,2020-05-23T20:53:18Z,2024-12-07T00:33:19Z,2024-12-07T00:31:15Z,5,2794,35382,35382,104189,SimplifyJobs,Organization,NA
40276274,zig,ziglang/zig,https://github.com/ziglang/zig,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software.",Zig,2015-08-06T00:51:28Z,2024-12-07T00:04:46Z,2024-12-07T00:04:39Z,3283,2576,35288,35288,300570,ziglang,Organization,MIT License
162405963,gradio,gradio-app/gradio,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,2018-12-19T08:24:04Z,2024-12-07T01:00:25Z,2024-12-07T01:08:26Z,455,2613,34420,34420,278582,gradio-app,Organization,Apache License 2.0
2293158,metasploit-framework,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,Metasploit Framework,Ruby,2011-08-30T06:13:20Z,2024-12-07T00:35:18Z,2024-12-07T01:02:12Z,450,14024,34351,34351,1062864,rapid7,Organization,Other
71932349,ray,ray-project/ray,https://github.com/ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,Python,2016-10-25T19:38:30Z,2024-12-07T00:36:24Z,2024-12-07T00:36:19Z,4245,5832,34320,34320,442628,ray-project,Organization,Apache License 2.0
186024298,nushell,nushell/nushell,https://github.com/nushell/nushell,A new type of shell,Rust,2019-05-10T16:59:42Z,2024-12-07T00:09:17Z,2024-12-07T00:09:11Z,1485,1702,32899,32899,49771,nushell,Organization,MIT License
